Date,time,Location,Sales in Rs/T,Sales volume in Tonnes,Price/ kg,Climate,Customer ID,Diameter,Length,Grade,Current stock,Re-order,Lead time,Production time,units produced,Production cost
27-02-2023,9:50 AM,Pune,555475.94,7.21,64.99,Rainy,4D2AE84F,16.39,8.84,Fe-600,5838.97,1067.14,7.56,5.87,9896.15,22479.21
26-02-2023,9:37 AM,Pune,543257.63,7.23,64.25,Rainy,4D2AE84F,16.14,13.99,Fe-600D,7101.46,1244.2,9.51,5.62,10181.58,21314.28
25-02-2023,9:37 AM,Pune,549079.25,7.82,64.01,Rainy,D335CD9E,12.39,15.2,Fe-600D,7657.32,1203.51,8.49,5.89,8772,20188.11
24-02-2023,9:37 AM,Pune,553544.75,8.15,67.09,Rainy,D335CD9E,12.16,19.76,Fe-600D,8517.74,1193.28,9.22,5.52,9297.99,18293.84
23-02-2023,9:18 AM,Delhi,554675.13,8.58,66.92,Rainy,28EAC590,11.94,28.12,Fe-600D,10653.78,1310.17,9.82,4.02,,18437.81
22-02-2023,10:30 AM,Delhi,653730.63,10.14,69.55,Rainy,35821E8D,13.86,27.6,Fe-600,9678.42,1051.29,10.08,3.54,9518.29,18351.32
21-02-2023,10:30 AM,Pune,540626.81,8.01,66.7,Rainy,A6DA7F70,15.98,27.1,Fe-550D,9179.26,1169.31,9.65,4.05,9520.91,19676.75
20-02-2023,5:51 PM,,490950.5,8.08,60.92,Winter,F81C9AA1,17.83,16.95,Fe-500D,8137.57,968.39,9.81,4.88,10778.09,20941.03
19-02-2023,12:37 PM,Bengaluru,510077.59,8.61,61.64,Winter,DDA24101,18.6,15.35,Fe-550D,6866.17,897.86,7.82,4.86,11636.01,20915.44
18-02-2023,10:10 AM,Kolkata,463520.03,7.64,65.88,Winter,A7658687,22.66,23.8,Fe-415,10632.28,1182.29,9.15,4.68,10122.02,19045.94
17-02-2023,10:10 AM,Kolkata,445905.16,6.94,63.68,Winter,A7658687,23.06,19.17,Fe-500D,9904.2,1177.34,7.71,5.36,10961.79,18592.05
16-02-2023,10:10 AM,Hyderabad,485856.09,7.19,66.74,Winter,A7658687,24.06,19.81,Fe-500D,10468.17,1177.47,4.62,4.72,10748.91,18890.37
15-02-2023,10:10 AM,Hyderabad,490098.66,7.1,66.03,Winter,A7658687,15.6,13.13,Fe-500D,8523.17,883.8,3.59,4.7,9445.86,18590.25
14-02-2023,12:25 PM,Kolkata,451987.94,6.6,64.22,Winter,A7658687,14.35,13.61,Fe-500D,7809.91,1036.51,5.74,5.42,8653.16,20178.6
13-02-2023,12:25 PM,Pune,452108.78,6.26,62.9,Winter,0A6DA80F,12.9,13,Fe-500D,9369.42,988.25,4.93,4.35,8439.9,18699.14
12-02-2023,12:25 PM,Pune,472973.63,6.57,62.5,Winter,0A6DA80F,13.99,10.26,Fe-500D,10402.73,1098.34,6.67,5.41,8258.2,20001.85
11-02-2023,2:23 PM,Pune,470396.94,6.75,56.2,Winter,41439784,14.55,9.86,Fe-500D,9398.19,876.33,10.38,3.81,8974.81,20116.55
